,tau,kappa,beta,sigma,delta_t,avg_reward
444,1.0,1000.0,0.005,7.625,5.0,2.105498960599791
445,1.0,1000.0,0.005,10.0,1.0,2.492266137728398
446,1.0,1000.0,0.005,10.0,2.0,2.0277781791348
447,1.0,1000.0,0.005,10.0,3.0,2.1512063954313745
448,1.0,1000.0,0.005,10.0,4.0,2.1188910181928913
449,1.0,1000.0,0.005,10.0,5.0,2.3156884314655892
450,1.0,1000.0,0.0075,0.5,1.0,2.099511241216475
451,1.0,1000.0,0.0075,0.5,2.0,2.2042442885576694
452,1.0,1000.0,0.0075,0.5,3.0,2.1388184970153086
453,1.0,1000.0,0.0075,0.5,4.0,2.5534554376169996
454,1.0,1000.0,0.0075,0.5,5.0,2.2396347207727874
455,1.0,1000.0,0.0075,2.875,1.0,2.236007527388211
456,1.0,1000.0,0.0075,2.875,2.0,2.339019672961081
457,1.0,1000.0,0.0075,2.875,3.0,2.519413594139588
458,1.0,1000.0,0.0075,2.875,4.0,2.1587745490431187
459,1.0,1000.0,0.0075,2.875,5.0,2.328686187096096
460,1.0,1000.0,0.0075,5.25,1.0,1.9135813956323446
461,1.0,1000.0,0.0075,5.25,2.0,1.991220864457936
462,1.0,1000.0,0.0075,5.25,3.0,2.6639371005243317
463,1.0,1000.0,0.0075,5.25,4.0,2.337044948516193
464,1.0,1000.0,0.0075,5.25,5.0,1.777697105195181
465,1.0,1000.0,0.0075,7.625,1.0,2.1623917488151467
466,1.0,1000.0,0.0075,7.625,2.0,2.3827613810836947
467,1.0,1000.0,0.0075,7.625,3.0,2.3309085604821056
468,1.0,1000.0,0.0075,7.625,4.0,2.1463375200438106
469,1.0,1000.0,0.0075,7.625,5.0,2.2016776795840407
470,1.0,1000.0,0.0075,10.0,1.0,2.140701429790809
471,1.0,1000.0,0.0075,10.0,2.0,2.3729400976277426
472,1.0,1000.0,0.0075,10.0,3.0,2.3628605955857713
473,1.0,1000.0,0.0075,10.0,4.0,2.222317918081644
474,1.0,1000.0,0.0075,10.0,5.0,2.279619492993314
475,1.0,1000.0,0.01,0.5,1.0,2.409840087706301
476,1.0,1000.0,0.01,0.5,2.0,2.0992554267811174
477,1.0,1000.0,0.01,0.5,3.0,1.9346728251647698
478,1.0,1000.0,0.01,0.5,4.0,2.2192162220536327
479,1.0,1000.0,0.01,0.5,5.0,2.2145958573127644
480,1.0,1000.0,0.01,2.875,1.0,2.2699853978245867
481,1.0,1000.0,0.01,2.875,2.0,2.032949557149294
482,1.0,1000.0,0.01,2.875,3.0,1.915976762831583
483,1.0,1000.0,0.01,2.875,4.0,2.065220653254328
484,1.0,1000.0,0.01,2.875,5.0,2.6681010766961935
485,1.0,1000.0,0.01,5.25,1.0,2.2125309834991835
486,1.0,1000.0,0.01,5.25,2.0,2.024290077050297
487,1.0,1000.0,0.01,5.25,3.0,2.1575775334895617
488,1.0,1000.0,0.01,5.25,4.0,2.0632017426468865
489,1.0,1000.0,0.01,5.25,5.0,2.0861481877554704
490,1.0,1000.0,0.01,7.625,1.0,2.3243858807086184
491,1.0,1000.0,0.01,7.625,2.0,2.1595467347445663
492,1.0,1000.0,0.01,7.625,3.0,2.1493931478496884
493,1.0,1000.0,0.01,7.625,4.0,1.9467860688914729
494,1.0,1000.0,0.01,7.625,5.0,2.315187278017733
495,1.0,1000.0,0.01,10.0,1.0,2.4624166639332037
496,1.0,1000.0,0.01,10.0,2.0,1.9881286276738728
497,1.0,1000.0,0.01,10.0,3.0,2.2169251880478456
498,1.0,1000.0,0.01,10.0,4.0,2.289748539583909
499,1.0,1000.0,0.01,10.0,5.0,1.8554229076498416
500,1.0,10000.0,0.0,0.5,1.0,2.1811066496361313
501,1.0,10000.0,0.0,0.5,2.0,2.16727560298247
502,1.0,10000.0,0.0,0.5,3.0,2.2732209239039616
503,1.0,10000.0,0.0,0.5,4.0,2.3504419616478662
504,1.0,10000.0,0.0,0.5,5.0,2.110633581212626
505,1.0,10000.0,0.0,2.875,1.0,2.4447634064561594
506,1.0,10000.0,0.0,2.875,2.0,1.9748886994092785
507,1.0,10000.0,0.0,2.875,3.0,2.2656561877429207
508,1.0,10000.0,0.0,2.875,4.0,2.4093276134550394
509,1.0,10000.0,0.0,2.875,5.0,1.9682722727117032
510,1.0,10000.0,0.0,5.25,1.0,2.449929429233721
511,1.0,10000.0,0.0,5.25,2.0,2.113431227743653
512,1.0,10000.0,0.0,5.25,3.0,2.2297977313704456
513,1.0,10000.0,0.0,5.25,4.0,1.6911925622396502
514,1.0,10000.0,0.0,5.25,5.0,2.108673541703042
515,1.0,10000.0,0.0,7.625,1.0,2.0151582431982265
516,1.0,10000.0,0.0,7.625,2.0,2.350346371508897
517,1.0,10000.0,0.0,7.625,3.0,2.3394135507014644
518,1.0,10000.0,0.0,7.625,4.0,2.081078388347265
519,1.0,10000.0,0.0,7.625,5.0,2.23013463765222
520,1.0,10000.0,0.0,10.0,1.0,1.8885759134920974
521,1.0,10000.0,0.0,10.0,2.0,1.9503918112169878
522,1.0,10000.0,0.0,10.0,3.0,2.2381575470432535
523,1.0,10000.0,0.0,10.0,4.0,1.8569021370372607
524,1.0,10000.0,0.0,10.0,5.0,1.9850332766678587
525,1.0,10000.0,0.0025,0.5,1.0,2.1406723785728436
526,1.0,10000.0,0.0025,0.5,2.0,2.297638640475749
527,1.0,10000.0,0.0025,0.5,3.0,2.2584783258870478
528,1.0,10000.0,0.0025,0.5,4.0,2.0069193075498104
529,1.0,10000.0,0.0025,0.5,5.0,2.128744816954054
530,1.0,10000.0,0.0025,2.875,1.0,2.083219541816739
531,1.0,10000.0,0.0025,2.875,2.0,2.1290889779295226
532,1.0,10000.0,0.0025,2.875,3.0,1.9558040409858273
533,1.0,10000.0,0.0025,2.875,4.0,1.7605267773495423
534,1.0,10000.0,0.0025,2.875,5.0,2.3225124785326052
535,1.0,10000.0,0.0025,5.25,1.0,1.9659884579536595
536,1.0,10000.0,0.0025,5.25,2.0,1.9643830250587215
537,1.0,10000.0,0.0025,5.25,3.0,2.1530072258945285
538,1.0,10000.0,0.0025,5.25,4.0,2.109328064427829
539,1.0,10000.0,0.0025,5.25,5.0,2.061537662688985
540,1.0,10000.0,0.0025,7.625,1.0,2.355892036885424
541,1.0,10000.0,0.0025,7.625,2.0,2.352500608011351
542,1.0,10000.0,0.0025,7.625,3.0,2.0198585233733355
543,1.0,10000.0,0.0025,7.625,4.0,2.167634692147733
544,1.0,10000.0,0.0025,7.625,5.0,2.2996030218850874
545,1.0,10000.0,0.0025,10.0,1.0,2.3308730676346494
546,1.0,10000.0,0.0025,10.0,2.0,1.828913684157002
547,1.0,10000.0,0.0025,10.0,3.0,1.8012773285967705
548,1.0,10000.0,0.0025,10.0,4.0,2.2376591244757797
549,1.0,10000.0,0.0025,10.0,5.0,2.0249869191114898
550,1.0,10000.0,0.005,0.5,1.0,2.1642778170546224
551,1.0,10000.0,0.005,0.5,2.0,2.2170188917808686
552,1.0,10000.0,0.005,0.5,3.0,2.129379300520458
553,1.0,10000.0,0.005,0.5,4.0,2.362056535590185
554,1.0,10000.0,0.005,0.5,5.0,2.460495757533713
555,1.0,10000.0,0.005,2.875,1.0,2.0161097338189493
556,1.0,10000.0,0.005,2.875,2.0,2.33542524459058
557,1.0,10000.0,0.005,2.875,3.0,2.0214300157642433
558,1.0,10000.0,0.005,2.875,4.0,1.9761360044814853
559,1.0,10000.0,0.005,2.875,5.0,2.2517049293688887
560,1.0,10000.0,0.005,5.25,1.0,1.9284565381169212
561,1.0,10000.0,0.005,5.25,2.0,2.17334995479422
562,1.0,10000.0,0.005,5.25,3.0,2.220326591361207
563,1.0,10000.0,0.005,5.25,4.0,2.146421185017561
564,1.0,10000.0,0.005,5.25,5.0,2.0382802851934683
565,1.0,10000.0,0.005,7.625,1.0,2.055269195042951
566,1.0,10000.0,0.005,7.625,2.0,1.8480197396164553
567,1.0,10000.0,0.005,7.625,3.0,1.7822733140135167
568,1.0,10000.0,0.005,7.625,4.0,2.093529709923223
569,1.0,10000.0,0.005,7.625,5.0,2.152169364456215
570,1.0,10000.0,0.005,10.0,1.0,1.9406855124047309
571,1.0,10000.0,0.005,10.0,2.0,2.290460321843099
572,1.0,10000.0,0.005,10.0,3.0,1.8432863935547386
573,1.0,10000.0,0.005,10.0,4.0,2.2449781253244208
574,1.0,10000.0,0.005,10.0,5.0,1.9696048062215656
575,1.0,10000.0,0.0075,0.5,1.0,2.0290771827103766
576,1.0,10000.0,0.0075,0.5,2.0,1.8731669190243276
577,1.0,10000.0,0.0075,0.5,3.0,2.234291822572865
578,1.0,10000.0,0.0075,0.5,4.0,2.408810899388947
579,1.0,10000.0,0.0075,0.5,5.0,2.2685379402522807
580,1.0,10000.0,0.0075,2.875,1.0,2.1130759801390946
581,1.0,10000.0,0.0075,2.875,2.0,2.1417235131537433
582,1.0,10000.0,0.0075,2.875,3.0,2.371787366844939
583,1.0,10000.0,0.0075,2.875,4.0,2.2349814153251373
584,1.0,10000.0,0.0075,2.875,5.0,2.5754511349126954
585,1.0,10000.0,0.0075,5.25,1.0,1.9018930636367863
586,1.0,10000.0,0.0075,5.25,2.0,2.230827380452214
587,1.0,10000.0,0.0075,5.25,3.0,2.1397851931153333
588,1.0,10000.0,0.0075,5.25,4.0,2.3920473066827452
589,1.0,10000.0,0.0075,5.25,5.0,2.1522894484209782
590,1.0,10000.0,0.0075,7.625,1.0,2.0273547541023498
591,1.0,10000.0,0.0075,7.625,2.0,1.9711030614559029
592,1.0,10000.0,0.0075,7.625,3.0,2.1612564370419043
593,1.0,10000.0,0.0075,7.625,4.0,2.1659072474374144
594,1.0,10000.0,0.0075,7.625,5.0,2.242457757697534
595,1.0,10000.0,0.0075,10.0,1.0,2.3754979252488573
596,1.0,10000.0,0.0075,10.0,2.0,2.3968060618423346
597,1.0,10000.0,0.0075,10.0,3.0,2.183031424780884
598,1.0,10000.0,0.0075,10.0,4.0,2.0406441104916273
599,1.0,10000.0,0.0075,10.0,5.0,2.1305888866121374
600,1.0,10000.0,0.01,0.5,1.0,2.5303935639563875
601,1.0,10000.0,0.01,0.5,2.0,2.0684016936548093
602,1.0,10000.0,0.01,0.5,3.0,2.1473544905351467
603,1.0,10000.0,0.01,0.5,4.0,1.9816487559049514
604,1.0,10000.0,0.01,0.5,5.0,2.2405021589968377
605,1.0,10000.0,0.01,2.875,1.0,2.2795331919577526
606,1.0,10000.0,0.01,2.875,2.0,1.943019872428702
607,1.0,10000.0,0.01,2.875,3.0,2.022259546200762
608,1.0,10000.0,0.01,2.875,4.0,2.103377624546023
609,1.0,10000.0,0.01,2.875,5.0,2.099680423048768
610,1.0,10000.0,0.01,5.25,1.0,2.3227408770738314
611,1.0,10000.0,0.01,5.25,2.0,2.310766667518752
612,1.0,10000.0,0.01,5.25,3.0,1.9515822598262118
613,1.0,10000.0,0.01,5.25,4.0,2.2011287611376638
614,1.0,10000.0,0.01,5.25,5.0,2.0896092099213237
615,1.0,10000.0,0.01,7.625,1.0,1.9923647669845974
616,1.0,10000.0,0.01,7.625,2.0,2.494339084249424
617,1.0,10000.0,0.01,7.625,3.0,2.3653742538595046
618,1.0,10000.0,0.01,7.625,4.0,1.987867115873715
619,1.0,10000.0,0.01,7.625,5.0,1.9819849957337232
620,1.0,10000.0,0.01,10.0,1.0,2.0411687494593087
621,1.0,10000.0,0.01,10.0,2.0,1.7783858900612568
622,1.0,10000.0,0.01,10.0,3.0,2.202767741391633
623,1.0,10000.0,0.01,10.0,4.0,2.143781666211452
624,1.0,10000.0,0.01,10.0,5.0,1.6271085403286896
625,13.0,1.0,0.0,0.5,1.0,1.130638696272396
626,13.0,1.0,0.0,0.5,2.0,0.452907225855016
627,13.0,1.0,0.0,0.5,3.0,0.3593592624445061
628,13.0,1.0,0.0,0.5,4.0,0.34485736686513463
629,13.0,1.0,0.0,0.5,5.0,0.16923779697527647
630,13.0,1.0,0.0,2.875,1.0,9.942099797611508
631,13.0,1.0,0.0,2.875,2.0,3.6586556100358365
632,13.0,1.0,0.0,2.875,3.0,4.28241734491518
633,13.0,1.0,0.0,2.875,4.0,2.927147632179909
634,13.0,1.0,0.0,2.875,5.0,5.368422817669858
635,13.0,1.0,0.0,5.25,1.0,10.744216146384856
636,13.0,1.0,0.0,5.25,2.0,7.829322689001232
637,13.0,1.0,0.0,5.25,3.0,6.854107796522013
638,13.0,1.0,0.0,5.25,4.0,8.093293195959912
639,13.0,1.0,0.0,5.25,5.0,9.91531556265396
640,13.0,1.0,0.0,7.625,1.0,6.282050126528121
641,13.0,1.0,0.0,7.625,2.0,9.238075705919817
642,13.0,1.0,0.0,7.625,3.0,9.29057110912106
643,13.0,1.0,0.0,7.625,4.0,9.284475568813502
644,13.0,1.0,0.0,7.625,5.0,10.254222996144943
645,13.0,1.0,0.0,10.0,1.0,12.480379784806392
646,13.0,1.0,0.0,10.0,2.0,8.83959824944016
647,13.0,1.0,0.0,10.0,3.0,12.694122160943266
648,13.0,1.0,0.0,10.0,4.0,11.13509898818309
649,13.0,1.0,0.0,10.0,5.0,8.262593372490382
650,13.0,1.0,0.0025,0.5,1.0,0.8186016999369619
651,13.0,1.0,0.0025,0.5,2.0,0.5589546782016378
652,13.0,1.0,0.0025,0.5,3.0,0.29192266524643884
653,13.0,1.0,0.0025,0.5,4.0,0.6454062905191983
654,13.0,1.0,0.0025,0.5,5.0,0.4781683622373059
655,13.0,1.0,0.0025,2.875,1.0,5.674491662671549
656,13.0,1.0,0.0025,2.875,2.0,7.649743571095904
657,13.0,1.0,0.0025,2.875,3.0,4.109136951902167
658,13.0,1.0,0.0025,2.875,4.0,2.962996075419294
659,13.0,1.0,0.0025,2.875,5.0,3.5430246976375477
660,13.0,1.0,0.0025,5.25,1.0,8.393990533382482
661,13.0,1.0,0.0025,5.25,2.0,8.896180020828048
662,13.0,1.0,0.0025,5.25,3.0,8.35341886428462
663,13.0,1.0,0.0025,5.25,4.0,6.276019531238756
664,13.0,1.0,0.0025,5.25,5.0,7.135061910342722
665,13.0,1.0,0.0025,7.625,1.0,12.970686586916448
666,13.0,1.0,0.0025,7.625,2.0,9.233018055772114
667,13.0,1.0,0.0025,7.625,3.0,15.192177010510965
668,13.0,1.0,0.0025,7.625,4.0,6.361646730380109
669,13.0,1.0,0.0025,7.625,5.0,9.427493113521699
670,13.0,1.0,0.0025,10.0,1.0,12.961857229106391
671,13.0,1.0,0.0025,10.0,2.0,7.746492484291842
672,13.0,1.0,0.0025,10.0,3.0,7.956897004820718
673,13.0,1.0,0.0025,10.0,4.0,12.649774193021013
674,13.0,1.0,0.0025,10.0,5.0,6.971582069700943
675,13.0,1.0,0.005,0.5,1.0,0.6145956246860116
676,13.0,1.0,0.005,0.5,2.0,0.7065279049091626
677,13.0,1.0,0.005,0.5,3.0,0.3359251055186993
678,13.0,1.0,0.005,0.5,4.0,0.4022055907051792
679,13.0,1.0,0.005,0.5,5.0,0.3260798843807937
680,13.0,1.0,0.005,2.875,1.0,11.853485589424109
681,13.0,1.0,0.005,2.875,2.0,10.065588509266604
682,13.0,1.0,0.005,2.875,3.0,6.933115813822688
683,13.0,1.0,0.005,2.875,4.0,4.739889999762887
684,13.0,1.0,0.005,2.875,5.0,8.072096385829429
685,13.0,1.0,0.005,5.25,1.0,8.23320529292495
686,13.0,1.0,0.005,5.25,2.0,9.053905816134417
687,13.0,1.0,0.005,5.25,3.0,6.09028857499497
688,13.0,1.0,0.005,5.25,4.0,11.353718306781262
689,13.0,1.0,0.005,5.25,5.0,6.976047545382452
690,13.0,1.0,0.005,7.625,1.0,10.156275318860464
691,13.0,1.0,0.005,7.625,2.0,10.204604110264947
692,13.0,1.0,0.005,7.625,3.0,10.553950306465547
693,13.0,1.0,0.005,7.625,4.0,5.907675820251766
694,13.0,1.0,0.005,7.625,5.0,8.89338850562568
695,13.0,1.0,0.005,10.0,1.0,16.71405881818675
696,13.0,1.0,0.005,10.0,2.0,9.37553994661312
697,13.0,1.0,0.005,10.0,3.0,16.836519119528038
698,13.0,1.0,0.005,10.0,4.0,6.01565596771382
699,13.0,1.0,0.005,10.0,5.0,14.322231228711113
700,13.0,1.0,0.0075,0.5,1.0,0.9537285838968094
701,13.0,1.0,0.0075,0.5,2.0,1.0609882386928864
702,13.0,1.0,0.0075,0.5,3.0,0.34499813228966464
703,13.0,1.0,0.0075,0.5,4.0,0.3651868857780748
704,13.0,1.0,0.0075,0.5,5.0,0.3434219151076695
705,13.0,1.0,0.0075,2.875,1.0,8.31624828127401
706,13.0,1.0,0.0075,2.875,2.0,3.9459332060066252
707,13.0,1.0,0.0075,2.875,3.0,3.0025587173384474
708,13.0,1.0,0.0075,2.875,4.0,4.287562940433274
709,13.0,1.0,0.0075,2.875,5.0,5.208226197441921
710,13.0,1.0,0.0075,5.25,1.0,3.4269122391863673
711,13.0,1.0,0.0075,5.25,2.0,6.587826252209316
712,13.0,1.0,0.0075,5.25,3.0,12.849813185754638
713,13.0,1.0,0.0075,5.25,4.0,8.575987914105651
714,13.0,1.0,0.0075,5.25,5.0,5.997792058332674
715,13.0,1.0,0.0075,7.625,1.0,14.611913503654733
716,13.0,1.0,0.0075,7.625,2.0,12.367886597540387
717,13.0,1.0,0.0075,7.625,3.0,5.09031863106832
718,13.0,1.0,0.0075,7.625,4.0,11.309319110884834
719,13.0,1.0,0.0075,7.625,5.0,8.12431870469374
720,13.0,1.0,0.0075,10.0,1.0,4.454141838229756
721,13.0,1.0,0.0075,10.0,2.0,5.449697917358629
722,13.0,1.0,0.0075,10.0,3.0,12.037789344382746
723,13.0,1.0,0.0075,10.0,4.0,11.803276470048038
724,13.0,1.0,0.0075,10.0,5.0,12.406369514594084
725,13.0,1.0,0.01,0.5,1.0,0.616234911961554
726,13.0,1.0,0.01,0.5,2.0,0.9393010291629837
727,13.0,1.0,0.01,0.5,3.0,0.3829662164817226
728,13.0,1.0,0.01,0.5,4.0,0.3243398668674796
729,13.0,1.0,0.01,0.5,5.0,0.19957904550845182
730,13.0,1.0,0.01,2.875,1.0,11.924304700524711
731,13.0,1.0,0.01,2.875,2.0,6.537702276019026
732,13.0,1.0,0.01,2.875,3.0,2.2078294027256264
733,13.0,1.0,0.01,2.875,4.0,5.8499893146059945
734,13.0,1.0,0.01,2.875,5.0,4.077989165630085
735,13.0,1.0,0.01,5.25,1.0,10.06948980598872
736,13.0,1.0,0.01,5.25,2.0,8.6474662156908
737,13.0,1.0,0.01,5.25,3.0,11.142657155868756
738,13.0,1.0,0.01,5.25,4.0,5.974959985972906
739,13.0,1.0,0.01,5.25,5.0,9.251830699582664
740,13.0,1.0,0.01,7.625,1.0,6.687322507216072
741,13.0,1.0,0.01,7.625,2.0,9.583398365055649
742,13.0,1.0,0.01,7.625,3.0,6.73467366255867
743,13.0,1.0,0.01,7.625,4.0,6.083221942170594
744,13.0,1.0,0.01,7.625,5.0,8.72487986360939
745,13.0,1.0,0.01,10.0,1.0,10.233708358273137
746,13.0,1.0,0.01,10.0,2.0,7.90934017389188
747,13.0,1.0,0.01,10.0,3.0,7.24720387596472
748,13.0,1.0,0.01,10.0,4.0,10.721343587343231
749,13.0,1.0,0.01,10.0,5.0,10.789409373431837
750,13.0,10.0,0.0,0.5,1.0,9.522561258792535
751,13.0,10.0,0.0,0.5,2.0,8.328100614467742
752,13.0,10.0,0.0,0.5,3.0,7.385597012732447
753,13.0,10.0,0.0,0.5,4.0,5.110273827667849
754,13.0,10.0,0.0,0.5,5.0,3.722923963351275
755,13.0,10.0,0.0,2.875,1.0,16.91062472436475
756,13.0,10.0,0.0,2.875,2.0,18.016876676381983
757,13.0,10.0,0.0,2.875,3.0,12.096806222870592
758,13.0,10.0,0.0,2.875,4.0,9.858543982544735
759,13.0,10.0,0.0,2.875,5.0,14.056649771216996
760,13.0,10.0,0.0,5.25,1.0,18.695419745946786
761,13.0,10.0,0.0,5.25,2.0,13.808791483614252
762,13.0,10.0,0.0,5.25,3.0,19.122395414242536
763,13.0,10.0,0.0,5.25,4.0,10.17398063114943
764,13.0,10.0,0.0,5.25,5.0,13.048527601148255
765,13.0,10.0,0.0,7.625,1.0,17.1801682600317
766,13.0,10.0,0.0,7.625,2.0,18.92397747071164
767,13.0,10.0,0.0,7.625,3.0,14.303391077432371
768,13.0,10.0,0.0,7.625,4.0,13.350011885608406
769,13.0,10.0,0.0,7.625,5.0,12.817483788434563
770,13.0,10.0,0.0,10.0,1.0,20.027177097598894
771,13.0,10.0,0.0,10.0,2.0,15.955781888111625
772,13.0,10.0,0.0,10.0,3.0,23.42659264437285
773,13.0,10.0,0.0,10.0,4.0,15.318516191734412
774,13.0,10.0,0.0,10.0,5.0,12.519530161438464
775,13.0,10.0,0.0025,0.5,1.0,8.749530745978898
776,13.0,10.0,0.0025,0.5,2.0,5.986770420602454
777,13.0,10.0,0.0025,0.5,3.0,5.939038089891519
778,13.0,10.0,0.0025,0.5,4.0,5.831659814606452
779,13.0,10.0,0.0025,0.5,5.0,3.460504430271672
780,13.0,10.0,0.0025,2.875,1.0,22.327924728468215
781,13.0,10.0,0.0025,2.875,2.0,19.67484404105459
782,13.0,10.0,0.0025,2.875,3.0,15.655508679299876
783,13.0,10.0,0.0025,2.875,4.0,14.604662855181559
784,13.0,10.0,0.0025,2.875,5.0,14.662675946263604
785,13.0,10.0,0.0025,5.25,1.0,14.708246912581018
786,13.0,10.0,0.0025,5.25,2.0,27.144169036823428
787,13.0,10.0,0.0025,5.25,3.0,20.31092198101566
788,13.0,10.0,0.0025,5.25,4.0,15.790422419703367
789,13.0,10.0,0.0025,5.25,5.0,12.798195622111193
790,13.0,10.0,0.0025,7.625,1.0,16.596981034923264
791,13.0,10.0,0.0025,7.625,2.0,20.313595019030622
792,13.0,10.0,0.0025,7.625,3.0,13.246097644989058
793,13.0,10.0,0.0025,7.625,4.0,18.15879141389974
794,13.0,10.0,0.0025,7.625,5.0,17.462548765329338
795,13.0,10.0,0.0025,10.0,1.0,11.385560892602417
796,13.0,10.0,0.0025,10.0,2.0,17.135503112200873
797,13.0,10.0,0.0025,10.0,3.0,20.45456628381979
798,13.0,10.0,0.0025,10.0,4.0,21.054863345645455
799,13.0,10.0,0.0025,10.0,5.0,15.811274539940687
800,13.0,10.0,0.005,0.5,1.0,6.055600673033085
801,13.0,10.0,0.005,0.5,2.0,7.758993221477998
802,13.0,10.0,0.005,0.5,3.0,5.03496745587805
803,13.0,10.0,0.005,0.5,4.0,5.897880588412352
804,13.0,10.0,0.005,0.5,5.0,3.888172309786799
805,13.0,10.0,0.005,2.875,1.0,17.485312155597274
806,13.0,10.0,0.005,2.875,2.0,19.465601040942772
807,13.0,10.0,0.005,2.875,3.0,21.08380902901425
808,13.0,10.0,0.005,2.875,4.0,16.92215839798302
809,13.0,10.0,0.005,2.875,5.0,7.9459640689869815
810,13.0,10.0,0.005,5.25,1.0,15.291454767179626
811,13.0,10.0,0.005,5.25,2.0,23.834002595926997
812,13.0,10.0,0.005,5.25,3.0,20.267361484897542
813,13.0,10.0,0.005,5.25,4.0,21.335046606373773
814,13.0,10.0,0.005,5.25,5.0,14.894200209551991
815,13.0,10.0,0.005,7.625,1.0,18.388636228931084
816,13.0,10.0,0.005,7.625,2.0,18.401140464126428
817,13.0,10.0,0.005,7.625,3.0,15.74335697702774
818,13.0,10.0,0.005,7.625,4.0,14.51953514723931
819,13.0,10.0,0.005,7.625,5.0,12.68972206969214
820,13.0,10.0,0.005,10.0,1.0,13.92953585118632
821,13.0,10.0,0.005,10.0,2.0,22.02870564674818
822,13.0,10.0,0.005,10.0,3.0,24.425208803033254
823,13.0,10.0,0.005,10.0,4.0,20.28360309894277
824,13.0,10.0,0.005,10.0,5.0,13.191745756026222
825,13.0,10.0,0.0075,0.5,1.0,6.7676522736611044
826,13.0,10.0,0.0075,0.5,2.0,7.156107503992679
827,13.0,10.0,0.0075,0.5,3.0,5.88525100681628
828,13.0,10.0,0.0075,0.5,4.0,4.504992311620638
829,13.0,10.0,0.0075,0.5,5.0,3.0012841643553454
830,13.0,10.0,0.0075,2.875,1.0,22.64452290176866
831,13.0,10.0,0.0075,2.875,2.0,21.388507631438273
832,13.0,10.0,0.0075,2.875,3.0,11.390407357075535
833,13.0,10.0,0.0075,2.875,4.0,9.975966477212916
834,13.0,10.0,0.0075,2.875,5.0,13.398968962650468
835,13.0,10.0,0.0075,5.25,1.0,16.60357874638914
836,13.0,10.0,0.0075,5.25,2.0,19.78540196927811
837,13.0,10.0,0.0075,5.25,3.0,14.442280796320428
838,13.0,10.0,0.0075,5.25,4.0,10.668714375494606
839,13.0,10.0,0.0075,5.25,5.0,16.770363831130815
840,13.0,10.0,0.0075,7.625,1.0,18.427561505649955
841,13.0,10.0,0.0075,7.625,2.0,21.398330034618542
842,13.0,10.0,0.0075,7.625,3.0,15.537351008426702
843,13.0,10.0,0.0075,7.625,4.0,25.3272781287465
844,13.0,10.0,0.0075,7.625,5.0,6.778193714468079
845,13.0,10.0,0.0075,10.0,1.0,15.837558339696542
846,13.0,10.0,0.0075,10.0,2.0,17.673579839964866
847,13.0,10.0,0.0075,10.0,3.0,19.580625476216273
848,13.0,10.0,0.0075,10.0,4.0,23.742836466650882
849,13.0,10.0,0.0075,10.0,5.0,12.613755401364639
850,13.0,10.0,0.01,0.5,1.0,7.2148200036099865
851,13.0,10.0,0.01,0.5,2.0,6.267874412155981
852,13.0,10.0,0.01,0.5,3.0,7.100288752116117
853,13.0,10.0,0.01,0.5,4.0,4.9813703758578445
854,13.0,10.0,0.01,0.5,5.0,2.828088140223399
855,13.0,10.0,0.01,2.875,1.0,15.572364156949874
856,13.0,10.0,0.01,2.875,2.0,15.144936058064076
857,13.0,10.0,0.01,2.875,3.0,21.319628253695416
858,13.0,10.0,0.01,2.875,4.0,18.138091679041956
859,13.0,10.0,0.01,2.875,5.0,19.98066704917401
860,13.0,10.0,0.01,5.25,1.0,13.586659166707099
861,13.0,10.0,0.01,5.25,2.0,22.011710964004507
862,13.0,10.0,0.01,5.25,3.0,17.238814117733
863,13.0,10.0,0.01,5.25,4.0,13.397107259408227
864,13.0,10.0,0.01,5.25,5.0,8.422724823271153
865,13.0,10.0,0.01,7.625,1.0,12.00437713311845
866,13.0,10.0,0.01,7.625,2.0,16.185884118115638
867,13.0,10.0,0.01,7.625,3.0,18.39156627091649
868,13.0,10.0,0.01,7.625,4.0,10.329885992761707
869,13.0,10.0,0.01,7.625,5.0,11.99316441454266
870,13.0,10.0,0.01,10.0,1.0,20.632075073364213
871,13.0,10.0,0.01,10.0,2.0,11.873582652582638
872,13.0,10.0,0.01,10.0,3.0,16.25240083524846
873,13.0,10.0,0.01,10.0,4.0,9.64058639615297
874,13.0,10.0,0.01,10.0,5.0,15.739105287150608
875,13.0,100.0,0.0,0.5,1.0,10.579687271679644
876,13.0,100.0,0.0,0.5,2.0,7.092948549475379
877,13.0,100.0,0.0,0.5,3.0,8.434021738512204
878,13.0,100.0,0.0,0.5,4.0,7.643527126230419
879,13.0,100.0,0.0,0.5,5.0,7.754623301760432
880,13.0,100.0,0.0,2.875,1.0,18.197044644786153
881,13.0,100.0,0.0,2.875,2.0,17.007811789537346
882,13.0,100.0,0.0,2.875,3.0,17.06698653332118
883,13.0,100.0,0.0,2.875,4.0,17.820590030085956
884,13.0,100.0,0.0,2.875,5.0,15.494729408471713
885,13.0,100.0,0.0,5.25,1.0,24.213726699679434
886,13.0,100.0,0.0,5.25,2.0,25.204957272387656
887,13.0,100.0,0.0,5.25,3.0,23.936465199905093
888,13.0,100.0,0.0,5.25,4.0,17.10753298245367
889,13.0,100.0,0.0,5.25,5.0,18.02625223521358
890,13.0,100.0,0.0,7.625,1.0,14.391322681270427
891,13.0,100.0,0.0,7.625,2.0,16.82438953529941
