,tau,kappa,beta,sigma,delta_t,avg_reward
89,1.0,1.0,0.0075,5.25,5.0,1.7357049929505766
90,1.0,1.0,0.0075,7.625,1.0,1.9342239745298948
91,1.0,1.0,0.0075,7.625,2.0,2.2316192188911215
92,1.0,1.0,0.0075,7.625,3.0,2.0426968571485373
93,1.0,1.0,0.0075,7.625,4.0,2.3603626497979486
94,1.0,1.0,0.0075,7.625,5.0,2.416462449436445
95,1.0,1.0,0.0075,10.0,1.0,2.196819000011377
96,1.0,1.0,0.0075,10.0,2.0,1.9779031886720042
97,1.0,1.0,0.0075,10.0,3.0,2.2315585264091427
98,1.0,1.0,0.0075,10.0,4.0,2.211633800731257
99,1.0,1.0,0.0075,10.0,5.0,2.0874323822003
100,1.0,1.0,0.01,0.5,1.0,2.348544187583559
101,1.0,1.0,0.01,0.5,2.0,2.3701765682923024
102,1.0,1.0,0.01,0.5,3.0,2.195209867630782
103,1.0,1.0,0.01,0.5,4.0,2.290000009632167
104,1.0,1.0,0.01,0.5,5.0,2.3340784763108986
105,1.0,1.0,0.01,2.875,1.0,2.2438771171769303
106,1.0,1.0,0.01,2.875,2.0,2.212347012029908
107,1.0,1.0,0.01,2.875,3.0,2.108167959191297
108,1.0,1.0,0.01,2.875,4.0,2.407842201135008
109,1.0,1.0,0.01,2.875,5.0,2.4577580641207026
110,1.0,1.0,0.01,5.25,1.0,2.0075843773890636
111,1.0,1.0,0.01,5.25,2.0,2.2065065883516395
112,1.0,1.0,0.01,5.25,3.0,1.875807753482419
113,1.0,1.0,0.01,5.25,4.0,1.9710817900507707
114,1.0,1.0,0.01,5.25,5.0,2.351737825885371
115,1.0,1.0,0.01,7.625,1.0,2.3238875989012637
116,1.0,1.0,0.01,7.625,2.0,2.2027052021934512
117,1.0,1.0,0.01,7.625,3.0,2.183689629270176
118,1.0,1.0,0.01,7.625,4.0,2.2178574264619195
119,1.0,1.0,0.01,7.625,5.0,2.4274115455459677
120,1.0,1.0,0.01,10.0,1.0,2.1955450043218887
121,1.0,1.0,0.01,10.0,2.0,2.1908193072072533
122,1.0,1.0,0.01,10.0,3.0,2.156256769376391
