,kappa,reward
0,0.0,0.2559912713962758
1,4.0,27.571924937665607
2,2.0,38.469355423125485
3,0.25,13.566766539101684
4,1.0,27.58989522861169
5,3.0,29.914608881297557
6,0.5,21.864374851916587
7,2.0,37.50931443478222
8,0.75,32.49020145124741
9,2.0,25.84359856950861
10,2.0,30.622071784215045
11,2.0,35.19332993115023
12,0.75,40.645422721232265
13,0.75,30.246828551949637
14,2.0,33.337888821601695
15,2.0,25.748445537106598
16,0.75,31.716895176085842
17,2.0,30.30221582554296
18,0.75,26.6334714016137
19,2.0,34.522847035463755
20,2.0,38.54679581360259
21,0.75,27.972040642601634
22,2.0,28.730804721571378
23,2.0,37.33257104128381
24,0.75,35.87775028030946
25,2.0,25.944429932369218
26,2.0,30.86569798243836
27,2.0,27.56136819097477
28,2.0,34.40792376696341
29,0.75,40.20126527709511
30,0.75,37.39004503892017
31,2.0,29.314481581915203
32,2.0,33.003662533358366
33,2.0,35.60591611698605
34,0.75,31.62543340981879
35,2.0,17.317179777589832
36,0.75,34.07815720786994
37,2.0,23.38409512647444
38,2.0,34.21944182833382
39,2.0,25.211984356918048
40,2.0,28.16161067591309
41,3.0,41.495029471769094
42,0.75,20.930983446124134
43,3.0,31.505298864307065
44,0.75,27.67040653834738
45,3.0,26.802207187486925
46,3.0,32.91628868282467
47,0.75,21.98308056792523
48,2.0,36.13926907392194
49,3.0,27.58167290549023
50,2.0,36.48220715517177
51,0.75,30.307233949597446
52,0.75,42.96881247250576
53,2.0,18.45973788269883
54,2.0,30.01793059275094
55,0.75,20.645236952212855
56,2.0,30.892200272773756
57,0.75,27.71027975478926
58,2.0,37.553517924981776
59,2.0,32.82094622916363
60,3.0,26.76901349030083
61,0.75,42.7718995930288
62,2.0,31.359891091169988
63,2.0,38.29612032509279
64,0.75,26.09879253577568
65,2.0,36.660314485570375
66,2.0,34.12035022651733
67,2.0,26.832427131045637
68,0.75,32.612217494092896
69,0.75,33.214599305103896
70,0.75,18.996630154608134
71,3.0,27.079318753981177
72,3.0,23.72081655354762
73,0.75,28.609767509843927
74,0.75,25.731656773001127
75,2.0,33.36550659658418
76,0.75,32.936692828047114
77,0.75,41.68630068270504
78,3.0,27.150305349026667
79,3.0,22.307605954331372
80,2.0,26.820278086317455
81,0.75,41.47780467445573
82,2.0,27.22447838036995
83,3.0,39.295384990125164
84,0.75,33.866518438567226
85,0.75,33.609901395177516
86,0.75,29.523314475527723
87,2.0,37.74481134731047
88,0.75,32.036906018148386
89,0.75,35.85127214829943
90,3.0,25.752541429881212
91,2.0,28.299100996264833
92,2.0,38.69698209047182
93,2.0,35.1677549210257
94,0.75,31.990387110926655
95,0.75,30.80486868989853
96,2.0,25.71397072182371
97,0.75,38.29263076724426
98,0.75,39.452117116766956
99,0.75,29.85473518321607
